User,avg,std,zcr,centroid,rollof,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14
Auth,0.0001748169888742268,0.06702820956707001,1505.0,0.07987816887239782,1071.0427989130435,-425.43536376953125,110.63972473144531,33.09876251220703,12.889437675476074,-1.8372321128845215,-0.44550731778144836,-2.2466049194335938,-6.1072163581848145,-2.528062343597412,-0.24862881004810333,-12.453880310058594,-3.5956201553344727,-4.926504611968994,-4.446346759796143
Auth,-1.3003441381442826e-05,0.06373047828674316,1514.0,0.44814818251567456,1135.87646484375,-418.2292785644531,121.05203247070312,18.744495391845703,21.07634162902832,8.956787109375,-0.26798129081726074,-16.45353889465332,-7.14441442489624,-3.1496779918670654,0.042572021484375,-12.427892684936523,-6.4009480476379395,-2.3745789527893066,-4.743772983551025
Auth,1.8629900296218693e-05,0.05066283419728279,3986.0,0.32328427270437504,2787.810920266544,-430.0281066894531,93.15238189697266,27.714996337890625,27.186513900756836,10.140581130981445,6.420453071594238,-4.152554512023926,10.403549194335938,-1.2664300203323364,6.145258903503418,-7.084801197052002,-1.0318528413772583,1.0626262426376343,-1.9689501523971558
Auth,5.764142770203762e-05,0.059019532054662704,1668.0,0.3261647142315919,2712.1483435997598,-369.9421691894531,104.33463287353516,24.363704681396484,26.23274040222168,6.363105773925781,4.713254928588867,-16.766658782958984,5.110753059387207,-6.248244762420654,7.379821300506592,-13.206908226013184,-0.9286956787109375,-4.179599285125732,-8.380134582519531
Auth,2.8016993383062072e-05,0.0431969091296196,2000.0,0.14212433540443942,2713.351821899414,-430.4988098144531,90.09971618652344,30.317092895507812,33.402557373046875,9.03105354309082,9.912163734436035,-12.696788787841797,2.9660565853118896,-2.904611587524414,10.308959007263184,-12.165600776672363,2.361982822418213,-2.5799107551574707,-5.428611755371094
Auth,-8.203162906283978e-06,0.02577507495880127,1532.0,0.40141918957672434,1589.8681640625,-465.51251220703125,114.55046844482422,20.661222457885742,32.96349334716797,12.795586585998535,13.749746322631836,-7.261210918426514,-4.244582176208496,0.5862215757369995,9.075206756591797,-17.25282859802246,3.3141844272613525,1.5695264339447021,-6.842979907989502
Auth,-6.8550803007383365e-06,0.05022374913096428,1538.0,0.10646076982823519,1390.4866536458333,-433.6667175292969,110.83238220214844,15.310730934143066,27.820926666259766,12.726478576660156,4.263709545135498,-4.467064380645752,-9.701422691345215,-4.368007659912109,10.141718864440918,-16.645065307617188,0.17891353368759155,0.1459498256444931,-9.120906829833984
Auth,3.353987040100037e-06,0.055350229144096375,2030.0,0.08083098891484644,1175.0112469276685,-452.4876708984375,96.99397277832031,20.265840530395508,21.429765701293945,19.889848709106445,12.736493110656738,1.5989395380020142,-3.7737936973571777,-6.254848480224609,3.858006238937378,-8.442048072814941,-1.9575319290161133,1.7474061250686646,-5.457891941070557
Auth,2.9792803616146557e-05,0.05502200499176979,1228.0,0.48999318240413087,1093.738213900862,-434.1013488769531,113.50768280029297,27.93944549560547,25.819774627685547,9.178171157836914,3.222627639770508,-5.523385524749756,-6.052491664886475,-2.783796548843384,10.460110664367676,-16.363901138305664,-4.448033809661865,2.9737050533294678,-6.547627925872803
Auth,-6.3048460106074344e-06,0.05471242964267731,1149.0,0.4812382473829941,1153.948974609375,-435.30413818359375,109.00789642333984,26.27174186706543,26.342966079711914,4.4288153648376465,3.19193696975708,-5.21695613861084,-6.196419715881348,-1.23788583278656,10.546700477600098,-18.4599609375,-2.4777331352233887,1.7331600189208984,-7.00112247467041
